parameter,value,unit,source,note
inflation_rate,2,%,INSEE,
salary_increase,3,%,Benchmark,
support_monthly_price,280,€/month,
support_clients_y1,15,clients,
support_clients_y2,60,clients,
support_clients_y3,150,clients,
audit_mission_price,3000,€/mission,
audit_missions_y1,10,missions,
audit_missions_y2,35,missions,
audit_missions_y3,80,missions,
training_group_price,2500,€/group,
training_groups_y1,5,groups,
training_groups_y2,20,groups,
training_groups_y3,50,groups,
msp_monthly_price,400,€/month,
msp_partners_y1,2,partners,
msp_partners_y2,10,partners,
msp_partners_y3,20,partners,
growth_rate_y1_to_y2,302,%,Calculation,
growth_rate_y2_to_y3,161,%,Calculation,
operating_margin_y1,16.7,%,Calculation,
operating_margin_y2,29.0,%,Calculation,
operating_margin_y3,34.2,%,Calculation,
